Levels,Criterion,Mean,Std
TEST_DOCSTRING,C2_Problem_Identification,0.562,0.512
TEST_DOCSTRING,C3_Explanation_Clarity,0.75,0.447
TEST_DOCSTRING,C4_Actionability,0.938,0.25
TEST_DOCSTRING,C5_Contextual_Adequacy,0.438,0.512
TEST_DOCSTRING,C6_Brevity,0.75,0.447
TEST_SLICE_BLOCK,C1_Readability,0.938,0.25
TEST_SLICE_BLOCK,C2_Problem_Identification,0.625,0.5
TEST_SLICE_BLOCK,C3_Explanation_Clarity,0.75,0.447
TEST_SLICE_BLOCK,C4_Actionability,0.875,0.342
TEST_SLICE_BLOCK,C5_Contextual_Adequacy,0.812,0.403
TEST_SLICE_BLOCK,C6_Brevity,0.875,0.342
TEST_SLICE_BACKWARD,C1_Readability,1.0,0.0
TEST_SLICE_BACKWARD,C2_Problem_Identification,0.688,0.479
TEST_SLICE_BACKWARD,C3_Explanation_Clarity,0.812,0.403
TEST_SLICE_BACKWARD,C4_Actionability,0.938,0.25
TEST_SLICE_BACKWARD,C5_Contextual_Adequacy,0.938,0.25
TEST_SLICE_BACKWARD,C6_Brevity,0.812,0.403
TEST_SLICE_FORWARD,C1_Readability,0.812,0.403
TEST_SLICE_FORWARD,C2_Problem_Identification,0.312,0.479
TEST_SLICE_FORWARD,C3_Explanation_Clarity,0.312,0.479
TEST_SLICE_FORWARD,C4_Actionability,1.0,0.0
TEST_SLICE_FORWARD,C5_Contextual_Adequacy,0.75,0.447
TEST_SLICE_FORWARD,C6_Brevity,0.688,0.479
TEST_SLICE_UNION,C1_Readability,0.938,0.25
TEST_SLICE_UNION,C2_Problem_Identification,0.562,0.512
TEST_SLICE_UNION,C3_Explanation_Clarity,0.625,0.5
TEST_SLICE_UNION,C4_Actionability,0.875,0.342
TEST_SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
TEST_SLICE_UNION,C6_Brevity,0.875,0.342
DOCSTRING_SLICE_BLOCK,C1_Readability,0.938,0.25
DOCSTRING_SLICE_BLOCK,C2_Problem_Identification,0.25,0.447
DOCSTRING_SLICE_BLOCK,C3_Explanation_Clarity,0.375,0.5
DOCSTRING_SLICE_BLOCK,C4_Actionability,0.938,0.25
DOCSTRING_SLICE_BLOCK,C5_Contextual_Adequacy,0.625,0.5
DOCSTRING_SLICE_BLOCK,C6_Brevity,0.5,0.516
DOCSTRING_SLICE_BACKWARD,C1_Readability,0.938,0.25
DOCSTRING_SLICE_BACKWARD,C2_Problem_Identification,0.375,0.5
DOCSTRING_SLICE_BACKWARD,C3_Explanation_Clarity,0.562,0.512
DOCSTRING_SLICE_BACKWARD,C4_Actionability,0.875,0.342
DOCSTRING_SLICE_BACKWARD,C5_Contextual_Adequacy,0.812,0.403
DOCSTRING_SLICE_BACKWARD,C6_Brevity,0.75,0.447
DOCSTRING_SLICE_FORWARD,C1_Readability,0.938,0.25
DOCSTRING_SLICE_FORWARD,C2_Problem_Identification,0.062,0.25
DOCSTRING_SLICE_FORWARD,C3_Explanation_Clarity,0.188,0.403
DOCSTRING_SLICE_FORWARD,C4_Actionability,0.812,0.403
DOCSTRING_SLICE_FORWARD,C5_Contextual_Adequacy,0.75,0.447
DOCSTRING_SLICE_FORWARD,C6_Brevity,0.688,0.479
DOCSTRING_SLICE_UNION,C1_Readability,0.938,0.25
DOCSTRING_SLICE_UNION,C2_Problem_Identification,0.312,0.479
DOCSTRING_SLICE_UNION,C3_Explanation_Clarity,0.562,0.512
DOCSTRING_SLICE_UNION,C4_Actionability,0.812,0.403
DOCSTRING_SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
DOCSTRING_SLICE_UNION,C6_Brevity,0.625,0.5
SLICE_BLOCK_SLICE_BACKWARD,C1_Readability,0.75,0.447
SLICE_BLOCK_SLICE_BACKWARD,C2_Problem_Identification,0.25,0.447
SLICE_BLOCK_SLICE_BACKWARD,C3_Explanation_Clarity,0.375,0.5
SLICE_BLOCK_SLICE_BACKWARD,C4_Actionability,0.938,0.25
SLICE_BLOCK_SLICE_BACKWARD,C5_Contextual_Adequacy,1.0,0.0
SLICE_BLOCK_SLICE_BACKWARD,C6_Brevity,0.5,0.516
SLICE_BLOCK_SLICE_FORWARD,C1_Readability,0.938,0.25
SLICE_BLOCK_SLICE_FORWARD,C2_Problem_Identification,0.188,0.403
SLICE_BLOCK_SLICE_FORWARD,C3_Explanation_Clarity,0.375,0.5
SLICE_BLOCK_SLICE_FORWARD,C4_Actionability,1.0,0.0
SLICE_BLOCK_SLICE_FORWARD,C5_Contextual_Adequacy,1.0,0.0
SLICE_BLOCK_SLICE_FORWARD,C6_Brevity,0.625,0.5
SLICE_BLOCK_SLICE_UNION,C1_Readability,0.812,0.403
SLICE_BLOCK_SLICE_UNION,C2_Problem_Identification,0.438,0.512
SLICE_BLOCK_SLICE_UNION,C3_Explanation_Clarity,0.438,0.512
SLICE_BLOCK_SLICE_UNION,C4_Actionability,0.812,0.403
SLICE_BLOCK_SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
SLICE_BLOCK_SLICE_UNION,C6_Brevity,0.75,0.447
SLICE_BACKWARD_SLICE_FORWARD,C1_Readability,0.75,0.447
SLICE_BACKWARD_SLICE_FORWARD,C2_Problem_Identification,0.25,0.447
SLICE_BACKWARD_SLICE_FORWARD,C3_Explanation_Clarity,0.312,0.479
SLICE_BACKWARD_SLICE_FORWARD,C4_Actionability,1.0,0.0
SLICE_BACKWARD_SLICE_FORWARD,C5_Contextual_Adequacy,1.0,0.0
SLICE_BACKWARD_SLICE_FORWARD,C6_Brevity,0.688,0.479
SLICE_BACKWARD_SLICE_UNION,C1_Readability,0.875,0.342
SLICE_BACKWARD_SLICE_UNION,C2_Problem_Identification,0.25,0.447
SLICE_BACKWARD_SLICE_UNION,C3_Explanation_Clarity,0.312,0.479
SLICE_BACKWARD_SLICE_UNION,C4_Actionability,1.0,0.0
SLICE_BACKWARD_SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
SLICE_BACKWARD_SLICE_UNION,C6_Brevity,0.5,0.516
SLICE_FORWARD_SLICE_UNION,C1_Readability,0.938,0.25
SLICE_FORWARD_SLICE_UNION,C2_Problem_Identification,0.188,0.403
SLICE_FORWARD_SLICE_UNION,C3_Explanation_Clarity,0.5,0.516
SLICE_FORWARD_SLICE_UNION,C4_Actionability,1.0,0.0
SLICE_FORWARD_SLICE_UNION,C5_Contextual_Adequacy,1.0,0.0
SLICE_FORWARD_SLICE_UNION,C6_Brevity,0.75,0.447
BASELINE,C1_Readability,0.875,0.342
BASELINE,C2_Problem_Identification,1.0,0.0
BASELINE,C3_Explanation_Clarity,1.0,0.0
BASELINE,C4_Actionability,0.875,0.342
BASELINE,C5_Contextual_Adequacy,0.625,0.5
BASELINE,C6_Brevity,0.812,0.403
